,Subjects,Test Session,Accuracy,Electrode Distance,xshift,yshift,Runs
189,1.0,1.0,0.4448875,38.5,-1.2377488613128662,-4.499988555908203,5.0
190,1.0,1.0,0.271725,39.0,-1.4986839294433594,-0.22760604321956635,1.0
191,1.0,1.0,0.2652,39.0,-1.4974536895751953,0.00545082800090313,2.0
192,1.0,1.0,0.4614,39.0,-1.1437574625015259,-4.499945163726807,3.0
193,1.0,1.0,0.2791125,39.0,-1.4779822826385498,-0.44137129187583923,4.0
194,1.0,1.0,0.247475,39.0,-1.4999375343322754,0.8871260285377502,5.0
195,1.0,1.0,0.2295625,39.5,-1.4991713762283325,4.479386329650879,1.0
196,1.0,1.0,0.2654875,39.5,-0.25566086173057556,-0.20213091373443604,2.0
197,1.0,1.0,0.24165,39.5,-0.19955004751682281,1.469916582107544,3.0
198,1.0,1.0,0.22975,39.5,-1.3412396907806396,4.480838775634766,4.0
199,1.0,1.0,0.2446875,39.5,-1.4999990463256836,5.016000747680664,5.0
200,1.0,2.0,0.42935,20.0,0.3291313648223877,3.4195556640625,1.0
201,1.0,2.0,0.4311875,20.0,0.31126007437705994,3.0374555587768555,2.0
202,1.0,2.0,0.4301125,20.0,0.24917177855968475,3.241913080215454,3.0
203,1.0,2.0,0.44025,20.0,0.3241584300994873,3.1875710487365723,4.0
204,1.0,2.0,0.4326,20.0,0.26363620162010193,3.0336997509002686,5.0
205,1.0,2.0,0.42665,20.5,0.43199655413627625,3.499817132949829,1.0
206,1.0,2.0,0.4288875,20.5,0.3991972804069519,3.135004758834839,2.0
207,1.0,2.0,0.42755,20.5,0.48084038496017456,3.4997060298919678,3.0
208,1.0,2.0,0.4384125,20.5,0.4541187882423401,3.4439947605133057,4.0
209,1.0,2.0,0.4369625,20.5,0.433790922164917,2.950540065765381,5.0
210,1.0,2.0,0.4745375,21.0,0.5000587701797485,2.6643128395080566,1.0
211,1.0,2.0,0.4754,21.0,0.4999643564224243,2.557133436203003,2.0
212,1.0,2.0,0.4809375,21.0,0.4996263384819031,2.500056028366089,3.0
